id,rated,created_at,last_move_at,turns,victory_status,winner,increment_code,white_id,white_rating,black_id,black_rating,moves,opening_eco,opening_name,opening_ply
6sTz6t7D,TRUE,1.50397E+12,1.50397E+12,25,resign,white,8+12,jordanfury,1939,oldpaths,1581,d4 Nf6 c4 e6 Nf3 c5 d5 exd5 cxd5 c4 Nc3 Bb4 Bg5 Bxc3+ bxc3 h6 Bh4 g5 Bg3 Ne4 Qd4 Qf6 Qxe4+ Kf8 Be5,E10,Blumenfeld Countergambit #2,6
RkMlSx4r,TRUE,1.50313E+12,1.50313E+12,58,mate,black,15+15,maninayebi,1335,sassou,1233,d4 Nf6 c4 e6 Nc3 Bb4 Bd2 O-O e3 d5 cxd5 exd5 Qb3 Bxc3 Bxc3 Nfd7 Qxd5 Nb6 Qxd8 Rxd8 Nf3 Bf5 Be2 Nc6 O-O Na4 a3 Nxc3 bxc3 b5 Rab1 a6 Bxb5 axb5 Rxb5 Bd3 Rc5 Bxf1 Rxc6 Bb5 Rxc7 Rxa3 Ne5 Ba6 g3 Rc8 Ra7 Rcxc3 Rxf7 Rab3 Rd7 Rc8 Ra7 Bb7 h4 Rc1+ Kh2 Rh1#,E20,Nimzo-Indian Defense,6
3udM9T6k,TRUE,1.50309E+12,1.50309E+12,43,mate,white,10+0,minimouf,1550,sassou,1225,d4 Nf6 c4 e6 Nf3 Bb4+ Bd2 Bxd2+ Nbxd2 O-O e4 d5 e5 Ne4 Bd3 Ng5 O-O Nxf3+ Nxf3 dxc4 Bxc4 Nc6 Rc1 Rb8 a3 b5 Bd3 Nxd4 Ne1 Bb7 Qh5 g6 Qh6 Qd5 Qg5 f5 Qf4 Nb3 Rxc7 Nc5 Qh6 Nxd3 Qxh7#,E11,Bogo-Indian Defense: Exchange Variation,8
QQ3iIM2V,TRUE,1.50346E+12,1.50346E+12,69,outoftime,white,8+0,javier_temperley,1855,isachess,1858,Nh3 d5 g3 Nf6 Bg2 c5 f4 e6 Nf2 Nc6 d3 d4 e4 e5 O-O exf4 Bxf4 Be7 Nd2 Be6 a3 Qd7 e5 Nd5 Nfe4 h6 Nb3 b6 Qd2 g5 Bxg5 hxg5 Nxg5 Ne3 Nxe6 Qxe6 Rf2 Nxg2 Kxg2 Qxe5 Re1 Qd5+ Kg1 O-O-O Qf4 Rdf8 Qg4+ Kc7 Nd2 Rhg8 Qf4+ Bd6 Qf6 Rg6 Qh4 Re6 Ne4 Be7 Qh7 Kd8 Ref1 Ne5 Qh5 Qd7 Rf5 Bd6 Nf6 Qe7 Nd5,E00,Amar Opening,1
46AuHfcq,TRUE,1.50198E+12,1.50198E+12,158,mate,black,6+6,humb,1835,isachess,1865,d4 Nf6 Nf3 e6 c4 c5 e3 cxd4 exd4 d5 c5 Be7 Bb5+ Nc6 O-O Bd7 a4 b6 b4 Nxb4 Bxd7+ Nxd7 cxb6 Qxb6 Nc3 Nc6 Ne5 Ndxe5 dxe5 Nxe5 Be3 Qd8 Qe2 Nd7 Nb5 a6 Nd4 O-O Nc6 Qe8 Nxe7+ Qxe7 Rac1 Qb4 Ra1 Rfc8 Rfb1 Qd6 a5 Qe7 g3 Qd8 Rb7 Rcb8 Rab1 Rxb7 Rxb7 Qc8 Qb2 Rb8 Rxb8 Qxb8 Bb6 Nxb6 Qxb6 Qc8 Kg2 Kf8 Qd6+ Ke8 Qb6 Kd7 Qa7+ Ke8 h4 h5 Qd4 Kf8 Qe5 Qc5 Qb8+ Ke7 Qb7+ Kf6 Qb2+ d4 Qb6 Qd5+ Kg1 d3 Qb2+ Qe5 Qd2 Qe2 Qf4+ Kg6 Qc4 Qe1+ Kg2 Qxa5 Qxd3+ Kh6 Qe3+ Kh7 Qe4+ Qf5 Qa4 a5 f3 g5 hxg5 Qxg5 Qe4+ Qf5 Qa4 Kg6 g4 hxg4 fxg4 Qd5+ Kh3 Qh1+ Kg3 Qg1+ Kh3 Qe3+ Kg2 Qd2+ Kg3 Qd5 Kh4 Qg5+ Kg3 f5 Qe8+ Kf6 Qd8+ Ke5 Qh8+ Ke4 Qa8+ Kd3 Qf3+ Qe3 Qxe3+ Kxe3 g5 f4+ Kg2 f3+ Kf1 a4 g6 a3 g7 a2 g8=Q a1=Q#,E10,Blumenfeld Countergambit #2,6
LDLdtyDj,FALSE,1.50291E+12,1.50292E+12,95,mate,white,5+8,eideral,1557,maumau62,1607,d4 e6 c4 Nf6 Nc3 c6 e4 d6 Bg5 Be7 Nf3 O-O h4 h6 e5 dxe5 dxe5 Nh7 Bxe7 Qxe7 Bd3 g6 Qc2 Nd7 Ne4 Nc5 Nxc5 Qxc5 h5 Kh8 hxg6 fxg6 Rxh6 Kg7 Rxh7+ Kxh7 Bxg6+ Kh6 Bh7 Rf5 Bxf5 exf5 O-O-O Be6 Rh1+ Kg6 Nh4+ Kg5 Qd2+ f4 Nf3+ Kg6 Qxf4 Rf8 Rh6+ Kg7 Qg5+ Kf7 Qf6+ Ke8 Qxe6+ Qe7 Qc8+ Kf7 Rh7+ Kg6 Rxe7 Rxc8 Nd4 b6 e6 c5 Nb5 a6 Nc7 Rh8 Rd7 Rh1+ Kc2 Re1 e7 Re2+ Kd3 Re1 e8=Q+ Rxe8 Nxe8 Kg5 Ke4 Kg4 Rg7+ Kh4 Kf5 Kh5 Rh7#,E20,Nimzo-Indian Defense #2,5
eRHQGmr2,TRUE,1.50263E+12,1.50263E+12,72,outoftime,black,10+0,nadanadora,1611,xtreh,1945,d4 d5 Nf3 e6 c4 Nf6 Nc3 Bb4 e3 c5 dxc5 O-O cxd5 exd5 Be2 Nc6 a3 Bxc3+ bxc3 Qe7 O-O Re8 c4 dxc4 Bxc4 Qxc5 Qb3 Be6 Bxe6 Rxe6 Bb2 Ne4 Rad1 Na5 Qb4 Qxb4 axb4 Nc4 Ba1 Rd6 Nd4 Rdd8 Rfe1 Ned6 Rc1 Rac8 Red1 f6 Ne6 Re8 Nd4 b6 Kf1 Na3 Bc3 Kf7 Be1 Rxc1 Rxc1 Nab5 Nxb5 Nxb5 Ke2 f5 f3 g5 h4 h6 Rc4 Re7 g3 Rc7,E20,Nimzo-Indian Defense: Ragozin Variation,8
HN5jnzyI,TRUE,1.50405E+12,1.50405E+12,114,draw,draw,10+0,bishopkerry01,1693,tfeng,1621,d4 Nf6 c4 g6 e3 Bg7 Nf3 O-O Nbd2 d6 Bd3 Nbd7 Qc2 c5 d5 Ng4 Rb1 Nge5 Be4 f5 Bd3 Nxd3+ Qxd3 Ne5 Qe2 Nxf3+ Qxf3 Qb6 b3 e5 dxe6 Bxe6 O-O Qc6 Qe2 d5 cxd5 Bxd5 f3 Rae8 Bb2 f4 e4 Bxb2 Rxb2 Qd6 Qb5 a6 Qe2 b5 Qf2 Be6 Qe1 Qe5 Rb1 Bd7 Rf2 Bc6 Qc1 Rd8 Nf1 Qd4 h3 g5 Qc2 h5 Nh2 Kh7 Kf1 Rg8 Ke1 g4 hxg4 hxg4 Nxg4 Rxg4 fxg4 Bxe4 Qc1 Bxb1 Qxb1+ Kg8 Qg6+ Kf8 Qf5+ Kg7 Qg5+ Kh7 Qf5+ Kg7 Qc2 Qe3+ Kf1 Rh8 Qb2+ Kg8 Kg1 Qe1+ Rf1 Rh1+ Kxh1 Qxf1+ Kh2 Qe1 Qf6 Qg3+ Kg1 Qe1+ Kh2 Qg3+ Kg1 Qe1+ Kh2 Qg3+,E61,Indian Game: West Indian Defense,4
CmAh08GF,TRUE,1.50265E+12,1.50265E+12,32,resign,white,10+0,tarekjrd,1789,tfeng,1538,d4 Nf6 c4 c5 Nf3 e6 Nc3 Nc6 Bg5 Be7 a3 cxd4 Nxd4 O-O Nxc6 dxc6 e3 h6 Bh4 Bd7 Be2 Qc7 Bg3 e5 O-O Rad8 Qc2 Bd6 Rfd1 Be6 b4 Nh5,E10,Blumenfeld Countergambit #2,6
scqVJjj2,TRUE,1.50318E+12,1.50318E+12,37,resign,white,10+10,robbm,1903,cagliostro97,1512,d4 d5 c4 e6 Nc3 Nf6 Nf3 Bb4 Qc2 Nc6 Bg5 Qe7 e3 Bd7 Bd3 g6 O-O O-O-O cxd5 exd5 Nxd5 Qe6 Nxf6 h6 Nxd7 hxg5 Nc5 Bxc5 Qxc5 Rd5 Nxg5 Rxc5 Nxe6 Rch5 Nf4 Rxh2 Nh3,E20,Nimzo-Indian Defense: Ragozin Variation,8
hbxnJvqu,TRUE,1.50324E+12,1.50324E+12,48,resign,black,10+0,kyanh,1579,ashis_ch,1841,d4 e6 c4 Nf6 Bf4 c6 Nc3 d5 Nf3 Nbd7 e3 Be7 Bd3 O-O O-O Nh5 Be5 Nxe5 Nxe5 Nf6 f4 Nd7 Ng4 f6 Rf3 Nb6 c5 Nd7 Rh3 g6 Nf2 e5 Rxh7 e4 Rxe7 Qxe7 Bc2 f5 Qd2 Nf6 b4 Bd7 a4 Kf7 g3 Rh8 Nfd1 Ng4,E00,Indian Game: East Indian Defense,4
